parcours,num,choix retenus,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8
DAC,72,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,sam_td1,dalas_td2,rital_td1,ml_td2,
DAC,73,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td2,rital_td1,dalas_td1,sam_td1,
DAC,74,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,dalas_td1,ml_td1,rital_td1,iamsi_td2,
DAC,75,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,dalas_td1,ml_td1,rital_td1,iamsi_td2,
DAC,76,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td1,rital_td1,sam_td1,dalas_td2,
DAC,77,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td1,dalas_td2,rital_td1,iamsi_td2,
DAC,78,1 2 3 4 5 6,conferences_td1,projet(3)_td1,ml_td2,iamsi_td1,sam_td1,rital_td1,,
DAC,79,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td1,iamsi_td2,dalas_td1,sam_td1,
DAC,80,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td2,rital_td1,dalas_td2,sam_td1,
DAC,81,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td2,dalas_td1,rital_td1,sam_td1,
DAC,82,1 2 3 4 5,anglais_td1,ml_td2,rital_td1,sam_td1,iamsi_td1,,,
DAC,83,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td2,dalas_td1,sam_td1,iamsi_td1,
DAC,84,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td2,dalas_td2,rital_td1,sam_td1,
DAC,85,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td1,dalas_td1,iamsi_td2,sam_td1,
DAC,86,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td1,dalas_td1,sam_td1,rital_td1,
DAC,87,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td1,dalas_td1,iamsi_td2,rital_td1,
DAC,88,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td2,dalas_td1,iamsi_td1,rital_td1,
DAC,89,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,arob_td2,dalas_td2,ml_td2,sam_td1,
DAC,90,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td2,dalas_td1,rital_td1,sam_td1,
DAC,91,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td1,iamsi_td2,dj_td1,dalas_td2,
DAC,92,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td1,dalas_td1,iamsi_td2,dj_td1,
DAC,93,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td1,dalas_td2,rital_td1,sam_td1,
DAC,94,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,sam_td1,dalas_td1,ml_td1,rital_td1,
DAC,95,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td2,dalas_td1,sam_td1,rital_td1,
DAC,96,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td2,iamsi_td1,sam_td1,dalas_td1,
DAC,97,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td2,rital_td1,dalas_td2,iamsi_td1,
DAC,98,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td1,dalas_td1,sam_td1,iamsi_td2,
DAC,99,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td2,dalas_td2,iamsi_td1,rital_td1,
DAC,100,1 2 3 4 6 9 10,anglais_td1,conferences_td1,projet(3)_td1,dalas_td2,rital_td1,iamsi_td1,sam_td1,
DAC,101,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td1,dalas_td1,sam_td1,rital_td1,
