parcours,num,choix retenus,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8
SESI,164,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,fpga_td2,ecfa_td1,ioc_td1,multi_td1,
SESI,165,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,fpga_td1,multi_td1,ioc_td1,ar_td1,
SESI,166,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,fpga_td2,ioc_td1,ecfa_td1,multi_td1,
SESI,167,1 2 3 4 5 6 10,anglais__td1,conferences_td1,ppse_td1,pnl_td1,multi_td1,ioc_td1,ecfa_td1,
SESI,168,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,ioc_td1,fpga_td2,ecfa_td1,comnum_td2,
SESI,169,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,ioc_td1,multi_td1,fpga_td3,ecfa_td1,
SESI,170,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,multi_td1,ioc_td1,fpga_td2,ecfa_td1,
SESI,171,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,multi_td1,fpga_td1,ioc_td1,pnl_td1,
SESI,172,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,fpga_td3,ioc_td1,ecfa_td1,multi_td1,
SESI,173,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,fpga_td1,ioc_td1,multi_td1,ar_td1,
SESI,174,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,multi_td1,fpga_td1,ioc_td1,pnl_td1,
SESI,175,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,fpga_td3,multi_td1,ioc_td1,ecfa_td1,
SESI,176,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,fpga_td2,ioc_td1,ecfa_td1,multi_td1,
SESI,177,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,multi_td1,ar_td1,ioc_td1,pnl_td1,
SESI,178,1 2 3 4 5 6 7 8,anglais__td1,conferences_td1,ppse_td1,multi_td1,fpga_td2,ioc_td1,ecfa_td1,comnum_td2
SESI,179,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,ioc_td1,ecfa_td1,fpga_td3,multi_td1,
SESI,180,1 2 3 6 7 8 10,anglais__td1,conferences_td1,ppse_td1,multi_td1,comnum_td2,ioc_td1,ecfa_td1,
SESI,181,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,fpga_td1,multi_td1,ioc_td1,ar_td1,
SESI,182,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,ioc_td1,multi_td1,fpga_td1,pnl_td1,
SESI,183,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,multi_td1,pnl_td1,ioc_td1,fpga_td1,
SESI,184,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,ioc_td1,multi_td1,fpga_td3,ecfa_td1,
SESI,185,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,multi_td1,ioc_td1,pnl_td1,fpga_td1,
SESI,186,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,fpga_td2,ecfa_td1,multi_td1,ioc_td1,
SESI,187,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,fpga_td1,ioc_td1,multi_td1,ar_td1,
SESI,188,1 2 3 4 5 6 7,anglais__td1,conferences_td1,ppse_td1,multi_td1,fpga_td1,pnl_td1,ioc_td1,
