parcours,num,choix retenus,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8
CCA,50,1 2 3 4 5 6 7,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,isec_td1,multi_en_td1,
CCA,51,1 2 3 4 5 6 7,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,isec_td1,fpga_td2,
CCA,52,1 2 3 4 5 6 7,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,isec_td1,multi_en_td1,
CCA,53,1 2 3 4 5 6 8,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,isec_td1,multi_en_td1,
CCA,54,1 2 3 4 5 10 11,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,isec_td1,multi_en_td1,flag_td1,
CCA,55,1 2 3 4 6 7 8,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,isec_td1,ar_td1,
CCA,56,1 2 3 4 6 7 11,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,isec_td1,fpga_td2,
CCA,57,1 2 3 4 5 6 7,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,isec_td1,multi_en_td1,
CCA,58,1 2 3 4 5 6 10,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,isec_td1,multi_en_td1,
CCA,59,1 2 3 4 5 6 7,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,isec_td1,ar_td1,
CCA,60,1 2 3 4 5 6 11,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,isec_td1,multi_en_td1,
CCA,61,1 2 3 4,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,,,,
CCA,62,1 2 3 4 5 6 7,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,ar_td1,isec_td1,
CCA,63,1 2 3 4 6 7 8,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,isec_td1,flag_td1,multi_en_td1,
CCA,64,1 2 3 4 6 9 10,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,isec_td1,flag_td1,multi_en_td1,
CCA,65,1 2 3 4,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,,,,
CCA,66,1 2 3 4 5 6 7,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,isec_td1,multi_en_td1,
CCA,67,1 2 3 4 5 6 7,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,isec_td1,multi_en_td1,
CCA,68,1 2 4 8,projet(6)_td1,flag_td1,ml_td1,isec_td1,,,,
CCA,69,1 2 3 4 5 7 9,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,isec_td1,fpga_td2,
CCA,70,1 2 3 4 5 6 9,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,flag_td1,isec_td1,multi_en_td1,
CCA,71,1 2 3 4 5 6 7,anglais__td1,conferences_td1,projet(6)_td1,anum_td1,isec_td1,ar_td1,flag_td1,
