parcours,num,choix retenus,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8
STL,189,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cps_td1,ca_td1,aps_td1,cpa_td1,,
STL,190,1 2 3 4 5 6,conferences_td1,projet(6)_td1,pc2r_td1,cps_td1,aps_td1,ca_td1,,
STL,191,1 2 3 4 5 6,conferences_td1,projet(6)_td1,pc2r_td1,cps_td1,aps_td1,ca_td1,,
STL,192,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cps_td1,pc2r_td1,cpa_td2,paf_td1,,
STL,193,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cpa_td2,paf_td1,aps_td1,ca_td1,,
STL,194,1 2 3 4 5 6,conferences_td1,projet(6)_td1,pc2r_td1,cps_td1,cpa_td2,paf_td1,,
STL,195,1 2 3 4 5 6,conferences_td1,projet(6)_td1,pc2r_td1,cpa_td2,cps_td1,paf_td1,,
STL,196,1 2 3 4 5 6,conferences_td1,projet(6)_td1,pc2r_td1,cps_td1,cpa_td2,aps_td1,,
STL,197,1 2 3 4,cpa_td1,aps_td1,pc2r_td1,paf_td1,,,,
STL,198,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cpa_td1,aps_td1,paf_td1,pc2r_td1,,
STL,199,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cpa_td1,pc2r_td1,cps_td1,ca_td1,,
STL,200,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cps_td1,cpa_td1,pc2r_td1,ca_td1,,
STL,201,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cps_td1,paf_td1,pc2r_td1,cpa_td1,,
STL,202,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cpa_td1,pc2r_td1,cps_td1,paf_td1,,
STL,203,1 2 3 4 5 6,conferences_td1,projet(6)_td1,pc2r_td1,cps_td1,cpa_td2,aps_td1,,
STL,204,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cps_td1,pc2r_td1,cpa_td1,aps_td1,,
STL,205,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cpa_td2,aps_td1,paf_td1,ca_td1,,
STL,206,1 2 3 4 5 6,conferences_td1,projet(6)_td1,pc2r_td1,paf_td1,cpa_td1,dalas_td2,,
STL,207,1 2 3 4 5 6,conferences_td1,projet(6)_td1,pc2r_td1,cps_td1,paf_td1,aps_td1,,
STL,208,1 2 3 4 5 6,conferences_td1,projet(6)_td1,pc2r_td1,cps_td1,paf_td1,aps_td1,,
STL,209,1 2 3 4 5 6 7,conferences_td1,projet(6)_td1,aps_td1,cps_td1,paf_td1,cpa_td1,ca_td1,
STL,210,1 2 3 4 5 6 7,conferences_td1,projet(6)_td1,cpa_td2,aps_td1,ca_td1,pc2r_td1,paf_td1,
STL,211,1 2 3 4 5 6,conferences_td1,projet(6)_td1,pc2r_td1,paf_td1,cpa_td1,cps_td1,,
STL,212,1 2 3 4 5 6,conferences_td1,projet(6)_td1,pc2r_td1,cps_td1,paf_td1,ca_td1,,
STL,213,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cps_td1,pc2r_td1,paf_td1,aps_td1,,
STL,214,1 2 3,pc2r_td1,aps_td1,paf_td1,,,,,
STL,215,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cpa_td2,ca_td1,aps_td1,cps_td1,,
STL,216,1 2 3 4,conferences_td1,projet(6)_td1,aps_td1,ca_td1,,,,
STL,217,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cpa_td2,aps_td1,ca_td1,paf_td1,,
STL,218,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cpa_td1,pc2r_td1,cps_td1,aps_td1,,
STL,219,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cpa_td1,pc2r_td1,cps_td1,aps_td1,,
STL,220,1 2 4 5 6 9,conferences_td1,projet(6)_td1,cpa_td2,pc2r_td1,ca_td1,paf_td1,,
STL,221,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cpa_td1,paf_td1,aps_td1,cps_td1,,
STL,222,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cpa_td2,paf_td1,pc2r_td1,cps_td1,,
STL,223,1 2 3 4 5 6,conferences_td1,projet(6)_td1,pc2r_td1,cpa_td1,cps_td1,aps_td1,,
STL,224,1 2 3 4 5 6,conferences_td1,projet(6)_td1,cpa_td2,aps_td1,ca_td1,cps_td1,,
STL,225,1 2 3 4 5 6,conferences_td1,projet(6)_td1,aps_td1,pc2r_td1,cpa_td2,ca_td1,,
STL,226,1 2 3 4 5 6,conferences_td1,projet(6)_td1,pc2r_td1,aps_td1,cpa_td2,cps_td1,,
STL,227,1 2 3 4 5 6,conferences_td1,projet(6)_td1,pc2r_td1,aps_td1,cpa_td2,cps_td1,,
STL,228,1 2 3 4 5 6,conferences_td1,projet(6)_td1,aps_td1,pc2r_td1,cpa_td1,ca_td1,,
STL,229,1 2 3 4 5 6,conferences_td1,projet(6)_td1,aps_td1,pc2r_td1,cpa_td1,ca_td1,,
