parcours,num,choix retenus,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8
QI,117,1 2 3 4 5 7,fle_td1,pqig_td1,qiintro_td1,anum_td1,projet(9)_td1,sdm_td1,,
QI,118,1 2 3 4 5 6,fle_td1,pqig_td1,qiintro_td1,anum_td1,projet(9)_td1,ig3d_td1,,
QI,119,1 2 3 4 5 6,fle_td1,pqig_td1,qiintro_td1,projet(6)_td1,ig3d_td1,dalas_td2,,
QI,120,1 2 3 4 5 6,fle_td1,pqig_td1,qiintro_td1,anum_td1,projet(9)_td1,flag_td1,,
QI,121,1 2 3 4 5 6 9,anglais_td1,pqig_td1,qiintro_td1,anum_td1,projet(9)_td1,sdm_td1,ig3d_td1,
QI,122,1 2 3 4 7 8,anglais_td1,pqig_td1,qiintro_td1,projet(6)_td1,ig3d_td1,sdm_td1,,
QI,123,1 2 3 4 5 6,fle_td1,pqig_td1,qiintro_td1,projet(6)_td1,dalas_td1,flag_td1,,
QI,124,1 2 3 4 5 6,anglais_td1,pqig_td1,qiintro_td1,projet(6)_td1,dalas_td2,sdm_td1,,
QI,125,1 2 3 4 5 6,anglais_td1,pqig_td1,qiintro_td1,projet(6)_td1,dalas_td1,sdm_td1,,
QI,126,1 2 3 4 5 8,anglais_td1,pqig_td1,qiintro_td1,anum_td1,projet(9)_td1,sdm_td1,,
QI,127,1 2 3 4 5 7,anglais_td1,pqig_td1,qiintro_td1,anum_td1,projet(9)_td1,ig3d_td1,,
QI,128,1 2 3 4 5 6,fle_td1,pqig_td1,qiintro_td1,projet(6)_td1,dalas_td1,ig3d_td1,,
QI,129,1 2 3 4 5 6,fle_td1,pqig_td1,qiintro_td1,projet(6)_td1,ig3d_td1,dalas_td1,,
QI,130,1 2 3 4 5 6,fle_td1,pqig_td1,qiintro_td1,projet(6)_td1,sdm_td1,ig3d_td1,,
QI,131,1 2 3 4 5 7,anglais_td1,pqig_td1,qiintro_td1,anum_td1,projet(9)_td1,sdm_td1,,
QI,132,1 2 3 4 5 8,fle_td1,pqig_td1,qiintro_td1,anum_td1,projet(9)_td1,sdm_td1,,
QI,133,1 2 3 4 5 6,fle_td1,pqig_td1,qiintro_td1,anum_td1,projet(9)_td1,ig3d_td1,,
