parcours,num,choix retenus,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8
ANDROIDE,1,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td2,arob_td1,fosyma_td1,dj_td1,
ANDROIDE,2,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,dj_td1,rp_td1,fosyma_td1,arob_td1,
ANDROIDE,3,1 2 3 5 6 7 9,anglais_td1,conferences_td1,projet(3)_td1,fosyma_td1,ihm_td1,iamsi_td2,arob_td1,
ANDROIDE,4,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,fosyma_td1,ihm_td1,arob_td2,iamsi_td2,
ANDROIDE,5,1 2,dj_td1,ml_td1,,,,,,
ANDROIDE,6,1 2 3 5 6 7 9,anglais_td1,conferences_td1,projet(3)_td1,arob_td2,fosyma_td1,dj_td1,ml_td2,
ANDROIDE,7,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,arob_td1,fosyma_td1,ihm_td1,dj_td1,
ANDROIDE,8,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,arob_td2,ihm_td1,fosyma_td1,dj_td1,
ANDROIDE,9,1 2 3 4 5 8 10,anglais_td1,conferences_td1,projet(3)_td1,arob_td2,ihm_td1,rp_td1,ml_td1,
ANDROIDE,10,1 2 3 4,anglais_td1,conferences_td1,projet(3)_td1,arob_td2,,,,
ANDROIDE,11,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ihm_td1,fosyma_td1,arob_td2,rp_td1,
ANDROIDE,12,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,arob_td1,rp_td1,dj_td1,fosyma_td1,
ANDROIDE,13,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,dj_td1,arob_td1,fosyma_td1,rp_td1,
ANDROIDE,14,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ihm_td1,fosyma_td1,arob_td2,dj_td1,
ANDROIDE,15,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,arob_td2,fosyma_td1,ihm_td1,rp_td1,
ANDROIDE,16,1 2 3 4 6 8 10,anglais_td1,conferences_td1,projet(3)_td1,arob_td1,ihm_td1,rp_td1,iamsi_td1,
ANDROIDE,17,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ihm_td1,arob_td1,fosyma_td1,dj_td1,
ANDROIDE,18,1 2 3 4,dj_td1,rp_td1,arob_td2,fosyma_td1,,,,
ANDROIDE,19,1 2 3 4 5 6 9,anglais_td1,conferences_td1,projet(3)_td1,ihm_td1,arob_td2,dj_td1,iamsi_td1,
ANDROIDE,20,1 2 3,dj_td1,arob_td2,ml_td1,,,,,
ANDROIDE,21,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,arob_td1,fosyma_td1,ihm_td1,dj_td1,
ANDROIDE,22,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,dj_td1,rp_td1,fosyma_td1,arob_td1,
ANDROIDE,23,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,fosyma_td1,ihm_td1,dj_td1,arob_td1,
ANDROIDE,24,1 2 3 4 7 8 9,anglais_td1,conferences_td1,projet(3)_td1,ihm_td1,rp_td1,arob_td2,iamsi_td1,
ANDROIDE,25,1 2 3 4 5 6 10,anglais_td1,conferences_td1,projet(3)_td1,ihm_td1,arob_td2,rp_td1,iamsi_td1,
ANDROIDE,26,1 2 3 4 7 8 9,anglais_td1,conferences_td1,projet(3)_td1,arob_td2,ihm_td1,ml_td2,fosyma_td1,
ANDROIDE,27,1 2 3 5 6 7 9,anglais_td1,conferences_td1,projet(3)_td1,fosyma_td1,arob_td1,ihm_td1,ml_td2,
ANDROIDE,28,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,dj_td1,ml_td2,arob_td1,fosyma_td1,
ANDROIDE,29,1 2 3 7 9,anglais_td1,conferences_td1,projet(3)_td1,iamsi_td1,arob_td1,,,
ANDROIDE,30,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ihm_td1,arob_td1,fosyma_td1,dj_td1,
ANDROIDE,31,1 2 3 5 7 8 10,anglais_td1,conferences_td1,projet(3)_td1,ihm_td1,rp_td1,arob_td2,ml_td1,
ANDROIDE,32,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,arob_td1,dj_td1,rp_td1,ihm_td1,
ANDROIDE,33,1 2 3 4 5 7 9,anglais_td1,conferences_td1,projet(3)_td1,ml_td1,ihm_td1,dj_td1,arob_td2,
ANDROIDE,34,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,fosyma_td1,arob_td2,rp_td1,ihm_td1,
ANDROIDE,35,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,dj_td1,arob_td1,rp_td1,fosyma_td1,
ANDROIDE,36,1 2 3 4 6 7 9,anglais_td1,conferences_td1,projet(3)_td1,dj_td1,iamsi_td1,rp_td1,arob_td1,
ANDROIDE,37,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,arob_td2,dj_td1,rp_td1,fosyma_td1,
ANDROIDE,38,1 2 3,projet(3)_td1,arob_td1,ml_td1,,,,,
ANDROIDE,39,1 2 3 5 7 8 9,anglais_td1,conferences_td1,projet(3)_td1,ihm_td1,rp_td1,iamsi_td1,arob_td1,
ANDROIDE,40,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,ml_td1,dj_td1,rp_td1,arob_td1,
ANDROIDE,41,1 2 3 4 5 6 7,anglais_td1,conferences_td1,projet(3)_td1,arob_td2,dj_td1,fosyma_td1,rp_td1,
ANDROIDE,42,1 2 3 4 7 8 10,anglais_td1,conferences_td1,projet(3)_td1,arob_td1,ihm_td1,rp_td1,iamsi_td1,
ANDROIDE,43,1 2 3 6 7 8 9,anglais_td1,conferences_td1,projet(3)_td1,fosyma_td1,ihm_td1,arob_td1,iamsi_td2,
ANDROIDE,44,1 2,projet(3)_td1,ml_td2,,,,,,
